slug	url	raw_html_sha256	text_sha256	words	src_path
ch-33-insurance-accounting	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-33-insurance-accounting.html	91c6086082d2f0936cb0f57cb29c1d3c8f9ac46cb0912fba4e9fe6ee41b5ae47	28e08d85158df25879d27d1d19f4690e8a75270a86537d07dea323904a5b3cc5	5131	/home/user/canon-corpus-src/investors-canon/chapters/ch-33-insurance-accounting.html
ch-34-manufacturing-trading-hotel	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-34-manufacturing-trading-hotel.html	160355265cd9758066606e5ff79b779eafd719e12d8e0a98ff0fb340b80e47c7	ab76ce4e24c5e7cd16abc78198311d3a543403df803a6f731df02a3621b08bcb	5435	/home/user/canon-corpus-src/investors-canon/chapters/ch-34-manufacturing-trading-hotel.html
ch-35-capital-gains-tax	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-35-capital-gains-tax.html	2698f117125f3c7d78353f9c518d10d591037bce8c6a63e659cea52931f8968b	26ac93010a1fa7657a58d8fa3d625c386c887c2c45b887f5f88d6e3a1926d7f5	4820	/home/user/canon-corpus-src/investors-canon/chapters/ch-35-capital-gains-tax.html
ch-36-dividend-interest-tax	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-36-dividend-interest-tax.html	36cbabc3e4a6c3a65ccd703244c9e22382ed1ddba75c8bc81931d00ca5729f86	432fda9b2581d951270695ef32aadff206b7a8aa6eec62ab204d0675c51c4fcd	5740	/home/user/canon-corpus-src/investors-canon/chapters/ch-36-dividend-interest-tax.html
ch-37-rights-bonus-tax	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-37-rights-bonus-tax.html	68b8db1ed29235c7b3e35b8af16cd899c6d8fe8f271e96e2e468a34d78c8f506	bb26339330600a42c249ae679b264693a9cf997f9799d1bc19f235cfd0037b40	4840	/home/user/canon-corpus-src/investors-canon/chapters/ch-37-rights-bonus-tax.html
ch-38-tax-planning	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-38-tax-planning.html	02adfe9d6b3d99c8f8642307b765d3e9f356dff6b8e1cf8fb7db2be67f626907	4a0521d0d333dbbe481ab6e2f5c3ae68f848016925f7318df3076ef4a6934dbe	6833	/home/user/canon-corpus-src/investors-canon/chapters/ch-38-tax-planning.html
ch-39-valuation-ratios	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-39-valuation-ratios.html	c0e7c77317b0cc0c3b558c3dbd6ec398d92ff9a381fd18ef7015dac432fb2d48	7dcc66c61c9d577f6aaa4689bad213603399523de130ef02ef2acdd51ff69f29	4291	/home/user/canon-corpus-src/investors-canon/chapters/ch-39-valuation-ratios.html
ch-40-profitability-ratios	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-40-profitability-ratios.html	74dd3211a81db22d36ddd7e02edcfd8086469d1c736d0e0f5b63b8de20c52891	d8f4282a2531d2d521cdea11280268f46dbd47e09143e95b57c09300d2e61c0f	5711	/home/user/canon-corpus-src/investors-canon/chapters/ch-40-profitability-ratios.html
ch-41-asset-quality-ratios	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-41-asset-quality-ratios.html	2d9f2c023db1825d9ae0b6058e9885c193d4d1b193aaf3f42c4ed495813cbe26	150377a099a78a8bc4d9f61bdb728a988ecf1c84e36250fd093f5c3229f963c6	5477	/home/user/canon-corpus-src/investors-canon/chapters/ch-41-asset-quality-ratios.html
ch-42-project-finance	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-42-project-finance.html	f9f93e8ad2cce0c2d5556de8b9449bb0822cd2b3c1d5ab788332c7bed49a10b9	fbb204a4ae999028954311bf96703dd9873a70fc9d373e9e5378f0baa0b144a8	5767	/home/user/canon-corpus-src/investors-canon/chapters/ch-42-project-finance.html
